Words,extraversion,neuroticism,agreeableness,conscientiousness,openness
awful,0,0.26,0,0,0
 though,0,0.24,0,0,0
 lazy ,0,0.24,0,0,0
 worse ,0,0.21,0,0,0
 depressing,0,0.21,0,0,0
 irony ,0,0.21,0,0,0
 road,0,-0.2,0,0,0
 terrible,0,0.2,0,0,0
 Southern,0,-0.2,0,0,0
 stressful,0,0.19,0,0,0
 horrible,0,0.19,0,0,0
 sort ,0,0.19,0,0,0
 visited,0,-0.19,0,0,0
 annoying,0,0.19,0,0,0
 ashamed,0,0.19,0,0,0
 ground,0,-0.19,0,0,0
 ban,0,0.18,0,0,0
 oldest,0,-0.18,0,0,0
 completed ,0,-0.18,0,0,0
 invited,0,-0.18,0,0,0
bar ,0.23,0,0,0,0
 other,-0.22,0,0,0,0
 drinks,0.21,0,0,0,0
 restaurant,0.21,0,0,0,0
 dancing,0.2,0,0,0,0
 restaurants,0.2,0,0,0,0
 cats,-0.2,0,0,0,0
 grandfather,0.2,0,0,0,0
 Miami,0.2,0,0,0,0
 countless,0.2,0,0,0,0
 drinking,0.19,0,0,0,0
 shots,0.19,0,0,0,0
 computer,-0.19,0,0,0,0
 girls,0.19,0,0,0,0
 glorious,0.19,0,0,0,0
 minor,-0.19,0,0,0,0
 pool,0.18,0,0,0,0
 crowd ,0.18,0,0,0,0
 sang ,0.18,0,0,0,0
 grilled,0.18,0,0,0,0
folk,0,0,0,0,0.32
 humans ,0,0,0,0,0.31
of,0,0,0,0,0.29
poet,0,0,0,0,0.29
art,0,0,0,0,0.29
by,0,0,0,0,0.28
universe,0,0,0,0,0.28
poetry,0,0,0,0,0.28
narrative,0,0,0,0,0.28
culture,0,0,0,0,0.28
giveaway,0,0,0,0,-0.28
century,0,0,0,0,0.28
sexual,0,0,0,0,0.27
films,0,0,0,0,0.27
novel,0,0,0,0,0.27
decades,0,0,0,0,0.27
ink,0,0,0,0,0.27
passage,0,0,0,0,0.27
literature,0,0,0,0,0.27
blues,0,0,0,0,0.26
wonderful,0,0,0.28,0,0
together,0,0,0.26,0,0
visiting,0,0,0.26,0,0
morning,0,0,0.26,0,0
spring,0,0,0.25,0,0
porn,0,0,-0.25,0,0
walked,0,0,0.23,0,0
beautiful,0,0,0.23,0,0
staying,0,0,0.23,0,0
felt,0,0,0.23,0,0
cost,0,0,-0.23,0,0
share,0,0,0.23,0,0
gray,0,0,0.22,0,0
joy,0,0,0.22,0,0
afternoon,0,0,0.22,0,0
day,0,0,0.22,0,0
moments,0,0,0.22,0,0
hug,0,0,0.22,0,0
glad,0,0,0.22,0,0
fuck,0,0,-0.22,0,0
completed,0,0,0,0.25,0
adventure,0,0,0,0.22,0
stupid,0,0,0,-0.22,0
boring,0,0,0,-0.22,0
adventures,0,0,0,0.2,0
desperate,0,0,0,-0.2,0
enjoying,0,0,0,0.2,0
saying,0,0,0,-0.2,0
Hawaii,0,0,0,0.19,0
utter,0,0,0,-0.19,0
it's,0,0,0,-0.19,0
extreme,0,0,0,-0.19,0
deck,0,0,0,0.18,0
